Number,Plot,Sample,ID,Position.point,Replicates,N..ug,N..percent,Total.N..mmol.gdw,d15N,C..ug,C..percent,Total.C..mmol.gdw,d13C,C.N,Koa.d15N.near1,Koa.d15N.near2,Koa.d15N.near3,trees,mean.d15N.Ndfa
58,AK,RUBHAW,,A7,3,73.08,2.32,1.66,3.15,1427.197,45.31,37.76,-30,19.53,0.82,1.98,1.79,"2,3,4",1.53
59,AK,RUBHAW,,B4,2,63.256,2.13,1.52,2.34,1374.445,46.32,38.6,-30.62,21.73,0.85,1.4,2,"10,11,12",1.416666667
60,AK,RUBHAW,,B5,3,55.199,1.92,1.37,2,1344.203,46.67,38.89,-30.3,24.35,2.51,0.54,1.4,"6,9,11",1.483333333
61,AK,RUBHAW,,B7,3,62.847,2.03,1.45,2.8,1426.965,46.09,38.41,-30.42,22.71,0.82,1.79,0.87,"2,4,5",1.16
62,AK,RUBHAW,,C1,1,61.825,2.04,1.46,2.22,1368.577,45.23,37.69,-28.29,22.14,1.26,0.54,0.63,"15,16,18",0.81
63,AK,RUBHAW,,C2,1,59.605,1.92,1.37,1.39,1404.324,45.26,37.71,-28.52,23.56,1.26,0.54,0.23,"15,16,17",0.676666667
64,AK,RUBHAW,,C3,2,73.595,2.15,1.54,1.19,1550.271,45.36,37.8,-29.05,21.07,1.35,0.54,0.23,"13,16,17",0.706666667
65,AK,RUBHAW,,C4,3,71.705,2.09,1.49,1.88,1545.861,45.08,37.57,-29.35,21.56,0.54,0.85,1.37,"9,10,14",0.92
66,AK,RUBHAW,,C5,3,66.656,1.96,1.4,1.69,1545.759,45.5,37.92,-29.05,23.19,0.99,1.82,0.54,"7,8,9",1.116666667
67,AK,RUBHAW,,C6,3,56.013,1.95,1.39,0.6,1312.09,45.62,38.02,-29.55,23.42,0.82,0.87,0.99,"2,5,7",0.893333333
68,AK,RUBHAW,,C7,3,69.223,2.37,1.69,2.49,1331.517,45.55,37.96,-28.12,19.24,2.24,0.82,0.87,"1,2,5",1.31
69,AK,RUBHAW,,D1,3,66.428,2.04,1.46,2.62,1508.608,46.42,38.68,-29.08,22.71,1.26,0.54,0.63,"15,16,18",0.81
70,AK,RUBHAW,,D3,1,91.695,2.57,1.84,1.03,1664.128,46.64,38.87,-30.65,18.15,1.35,1.37,0.23,"13,14,17",0.983333333
71,AK,RUBHAW,,D5,,61.123,1.97,1.41,1.2,1427.332,45.98,38.32,-28.59,23.35,0.99,1.82,0.54,"7,8,9",1.116666667
30,RK,RUBARG,,F1,,84.126,2.66,1.9,3.16,1487.793,46.99,39.16,-31.3,17.69,2.66,2.21,2.96,"1,2,7",2.61
31,RK,RUBARG,,F2,,94.599,2.79,1.99,2.29,1632.05,48.06,40.05,-31.59,17.25,2.66,2.21,2.96,"1,2,7",2.61
32,RK,RUBARG,,F4,,59.689,1.91,1.36,3.94,1499.399,47.95,39.96,-30.97,25.12,2.66,2.96,1.12,"1,7,11",2.246666667
33,RK,RUBARG,,F5,,51.792,1.75,1.25,4.53,1397.769,47.24,39.36,-30.71,26.99,2.96,0.47,1.12,"7,10,11",1.516666667
34,RK,RUBARG,,F7,,70.46,2.17,1.55,1.9,1557.846,47.93,39.94,-30.7,22.11,0.68,0.47,1.12,"8,10,11",0.756666667
35,RK,RUBARG,,G1,,79.991,2.8,2,2.66,1341.104,46.89,39.08,-31.11,16.77,2.66,2.21,3.27,"1,2,3",2.713333333
36,RK,RUBARG,,G2,,73.664,2.25,1.6,3.6,1563.999,47.68,39.74,-31.68,21.23,2.21,3.27,2.96,"2,3.7",2.813333333
37,RK,RUBARG,,G3,3,92.551,2.68,1.91,3.93,1614.67,46.71,38.92,-30.99,17.45,2.21,2.61,2.96,"2,6,7",2.593333333
38,RK,RUBARG,,G4,3,56.636,1.97,1.41,3.08,1366.36,47.64,39.7,-31.1,24.13,2.21,2.61,2.96,"2,6,7",2.593333333
39,RK,RUBARG,,G5,3,69.385,1.96,1.4,3.93,1665.595,47.16,39.3,-29.61,24.01,2.96,0.47,1.12,"2,10,11",1.516666667
40,RK,RUBARG,,G7,3,76.078,2.23,1.59,2.23,1651.116,48.46,40.39,-31.01,21.7,0.68,0.47,1.12,"8,10,11",0.756666667
41,RK,RUBARG,,H1,3,84.833,2.5,1.79,3.19,1576.443,46.52,38.76,-31.36,18.58,2.21,3.27,2.37,"2,3,4",2.616666667
42,RK,RUBARG,,H2,3,109.533,3.66,2.61,2.92,1410.429,47.09,39.24,-30.19,12.88,3.27,2.61,2.96,"3,6,7",2.946666667
43,RK,RUBARG,,H3,3,82.722,2.46,1.75,4.1,1581.087,46.96,39.13,-31.23,19.11,3.27,2.61,2.96,"3,6,7",2.946666667
44,RK,RUBARG,,H5,3,63.049,2.24,1.6,3.55,1329.153,47.28,39.4,-30.48,21.08,2.61,2.96,0.68,"6,7,8",2.083333333
45,RK,RUBARG,,H6,3,67.622,2.08,1.49,2.6,1525.302,46.99,39.16,-30.49,22.56,0.68,0.47,1.12,"8,10,11",0.756666667
46,RK,RUBARG,,H7,3,64.52,2.1,1.5,0.99,1429.638,46.57,38.81,-31.35,22.16,0.68,0.47,1.12,"8,10,11",0.756666667
47,RK,RUBARG,,J1,3,85.07,2.55,1.82,2.98,1558.095,46.71,38.92,-31.34,18.32,3.27,2.37,3.17,"3,4,5",2.936666667
48,RK,RUBARG,,J4,3,80.67,2.33,1.66,2.48,1615.838,56.56,47.13,-31.57,24.29,2.37,2.61,2.96,"4,6,7",2.646666667
49,RK,RUBARG,,J5,3,67.267,2.36,1.68,4.11,1354.974,49.94,41.62,-29.58,21.18,3.17,2.61,0.68,"5,6,8",2.153333333
50,RK,RUBARG,,J6,3,72.251,2.15,1.53,3.13,1583.84,52.07,43.39,-29.93,24.27,2.61,0.68,1.12,"6,8,11",1.47
51,RK,RUBARG,,J7,3,69.907,2.35,1.68,1.42,1370.957,45.07,37.56,-31.76,19.14,0.68,0.47,1.12,"8,10,11",0.756666667
52,RK,RUBARG,,L1,3,50.033,1.83,1.31,2.55,1290.868,42.43,35.36,-31.32,23.21,2.66,2.21,2.96,"1,2,7",2.61
53,RK,RUBARG,,L2,3,84.705,2.47,1.76,3.42,1592.889,52.36,43.64,-31.16,21.22,2.66,2.21,2.96,"1,2,7",2.61
54,RK,RUBARG,,L3,3,72.578,2.05,1.46,2.59,1679.111,55.2,46,-31.13,26.93,2.66,2.21,2.96,"1,2,7",2.61
55,RK,RUBARG,,L4,3,60.769,1.99,1.42,3.39,1464.778,48.01,40.01,-30.46,24.1,2.66,2.96,1.12,"1,7,11",2.246666667
56,RK,RUBARG,,L6,3,74.17,2.45,1.75,1.64,1393.1,45.99,38.33,-30.85,18.78,2.96,0.47,1.12,"7,10,11",1.516666667
57,RK,RUBARG,,L7,3,70.401,2.15,1.54,1.75,1564.714,47.81,39.84,-31.05,22.23,0.68,0.47,1.12,"8,10,11",0.756666667